assessmentIdentifier,objectiveAssessment__identificationCode,reportingMethod__codeValue,col,raw_col,min_year,max_year
WIForward_MTH,MTH_Gr8_FNC,Points Earned,Points_Earned_MTH_Gr8_FNC,,2024,
WIForward_SCN,,Scale Score,scaleScore,Scale_Score_SCN,,
WIForward_SCN,,Std Error Scale Score,stdErrorScaleScore,Std_Error_Scale_Score_SCN,,
WIForward_SCN,,WI Percentile,percentile,WI_Percentile_SCN,,
WIForward_SCN,,Performance Level,performanceLevel,SCN_Performance_Level,2024,
WIForward_SCN,,Proficiency,performanceLevel,SCN_Proficiency,,2023
WIForward_SCN,,Total Points Earned,Total_Points_Earned,Total_Points_Earned_SCN,,
WIForward_SCN,,Points Earned MC,Points_Earned_MC,Points_Earned_SCN_MC,,
WIForward_SCN,,Points Earned Autoscored,Points_Earned_Autoscored,Points_Earned_SCN_Autoscored,,
WIForward_SCN,,SCN S1 Attempted Status,SCN_S1_Attempted_Status,SCN_S1_Attempted_Status,2024,
WIForward_SCN,,SCN S2 Attempted Status,SCN_S2_Attempted_Status,SCN_S2_Attempted_Status,2024,
WIForward_SCN,,SCN S3 Attempted Status,SCN_S3_Attempted_Status,SCN_S3_Attempted_Status,2024,
WIForward_SCN,SCN_LS,Progress Score,Progress_Score_SCN_LS,,2024,
WIForward_SCN,SCN_LS,Progress Level,Progress_Level_SCN_LS,,2024,
WIForward_SCN,SCN_LS,Points Earned,Points_Earned_SCN_LS,,2024,
WIForward_SCN,SCN_PS,Progress Score,Progress_Score_SCN_PS,,2024,
WIForward_SCN,SCN_PS,Progress Level,Progress_Level_SCN_PS,,2024,
WIForward_SCN,SCN_PS,Points Earned,Points_Earned_SCN_PS,,2024,
WIForward_SCN,SCN_ES,Progress Score,Progress_Score_SCN_ES,,2024,
WIForward_SCN,SCN_ES,Progress Level,Progress_Level_SCN_ES,,2024,
WIForward_SCN,SCN_ES,Points Earned,Points_Earned_SCN_ES,,2024,
WIForward_SCN,SCN_ET,Progress Score,Progress_Score_SCN_ET,,2024,
WIForward_SCN,SCN_ET,Progress Level,Progress_Level_SCN_ET,,2024,
WIForward_SCN,SCN_ET,Points Earned,Points_Earned_SCN_ET,,2024,
