assessmentIdentifier,namespace,assessmentTitle,assessmentFamily,academicSubjectDescriptor,assessmentCategoryDescriptor,originalSubject,originalSubType
grade_2_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_cast_ia_i,uri://www.caaspp-elpac.org,Grade 3 CAST IA-I,California Science Test (CAST),uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,CAST,IAB
grade_3_cast_ia_ii,uri://www.caaspp-elpac.org,Grade 3 CAST IA-II,California Science Test (CAST),uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,CAST,IAB
grade_3_ela_brief_writes,uri://www.caaspp-elpac.org,Grade 3 ELA - Brief Writes (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_editing,uri://www.caaspp-elpac.org,Grade 3 ELA - Editing (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_ica,uri://www.caaspp-elpac.org,Grade 3 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_3_ela_language_vocab_use,uri://www.caaspp-elpac.org,Grade 3 ELA - Language and Vocabulary Use (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_listen/interpret,uri://www.caaspp-elpac.org,Grade 3 ELA - Listen/Interpret (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_make_support_inferences_informational,uri://www.caaspp-elpac.org,Grade 3 ELA - Make and Support Inferences (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_make_support_inferences_literary,uri://www.caaspp-elpac.org,Grade 3 ELA - Make and Support Inferences (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_performance_task_beetles,uri://www.caaspp-elpac.org,Grade 3 ELA - Performance Task - Beetles (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_read_informational,uri://www.caaspp-elpac.org,Grade 3 ELA - Read Informational Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_read_literary,uri://www.caaspp-elpac.org,Grade 3 ELA - Read Literary Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_research_analyze_information,uri://www.caaspp-elpac.org,Grade 3 ELA - Research: Analyze Information (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_research,uri://www.caaspp-elpac.org,Grade 3 ELA - Research (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_research_interpret_integrate,uri://www.caaspp-elpac.org,Grade 3 ELA - Research: Interpret and Integrate (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_research_use_evidence,uri://www.caaspp-elpac.org,Grade 3 ELA - Research: Use Evidence (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_revision,uri://www.caaspp-elpac.org,Grade 3 ELA - Revision (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_text_analysis_informational,uri://www.caaspp-elpac.org,Grade 3 ELA - Text Analysis (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_text_analysis_literary,uri://www.caaspp-elpac.org,Grade 3 ELA - Text Analysis (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_write_revise_informational,uri://www.caaspp-elpac.org,Grade 3 ELA - Write and Revise Informational Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_write_revise_narratives,uri://www.caaspp-elpac.org,Grade 3 ELA - Write and Revise Narratives (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_ela_write_revise_opinion,uri://www.caaspp-elpac.org,Grade 3 ELA - Write and Revise Opinion Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_3_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 3 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_3_math_four_operations,uri://www.caaspp-elpac.org,"Grade 3 MATH - Four Operations: Interpret, Represent, and Solve (FIAB)",Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_geometry,uri://www.caaspp-elpac.org,Grade 3 MATH - Geometry (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_ica,uri://www.caaspp-elpac.org,Grade 3 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_3_math_linear_area_measurement,uri://www.caaspp-elpac.org,Grade 3 MATH - Linear and Area Measurement (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_measurement_data,uri://www.caaspp-elpac.org,Grade 3 MATH - Measurement and Data (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_multiplication_division,uri://www.caaspp-elpac.org,"Grade 3 MATH - Multiplication and Division: Interpret, Represent, and Solve (FIAB)",Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_multiply_divide_within_100,uri://www.caaspp-elpac.org,Grade 3 MATH - Multiply and Divide within 100 (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
