MOSIS_STATE_ID,GROWTH_YEAR,REPORT_YEAR,GRADE,COUNTY_DISTRICT_CODE,SCHOOL_CODE,MATH_Z_T,MATH_Z_PREDICTED,MATH_Z_PREDICTED_SE,MATH_Z_RESIDUAL,MATH_Z_RESIDUAL_SE,FREE_OR_REDUCED_LUNCH,GENDER,IEP_DISABILITY,ENGLISH_LANGUAGE_LEARNER,IN_BLDG_LESS_THAN_FAY,DIRECT_CERT,STUDENT_GROUP,HOMELESS,MILITARY,GIFTED,FOSTER,AMERICAN_INDIAN,ASIAN_PACIFIC_ISLANDER,BLACK,HISPANIC,WHITE,MULTI_RACE,Neglected_delinquent
,2025,2025,7,96119,4069,0.3233642578,-0.364425033,0.5605115491,0.6877892912,0.5599838139,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4269,-0.897094727,-2.064571598,0.5268387153,1.1674768711,0.5265246333,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4269,-2.659667969,-1.316360995,0.579513686,-1.343306973,0.5790609096,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,4,96119,4029,-0.31640625,-0.012884543,0.5470010589,-0.303521707,0.5466778411,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-3.112304688,-0.112304688,0.5604407453,-3.0,0.5600546756,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4029,-0.641235352,-1.849332839,0.5670712997,1.2080974872,0.5666972203,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,4,96119,4029,-3.523925781,-1.401188357,0.5469953897,-2.122737425,0.5466835136,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,9990,-3.559082031,-3.056605414,0.567716444,-0.502476617,0.5660509143,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4069,-1.336425781,-2.452003562,0.5796153306,1.1155777806,0.5789591676,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4029,-1.136962891,-3.24098156,0.5269568238,2.1040186693,0.5264064279,Y,F,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-3.112304688,-0.112304688,0.5604232618,-3.0,0.5600721705,Y,M,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N
,2025,2025,6,96119,9990,-1.382568359,-1.400368323,0.5766975819,0.0177999641,0.5568981033,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y
,2025,2025,7,96119,4269,-1.353515625,-1.537800458,0.5604475283,0.1842848331,0.5600478878,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-1.660400391,-2.812765391,0.5605834066,1.1523650008,0.5599118795,Y,M,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N
,2025,2025,7,96119,4269,-3.112304688,-2.168978525,0.5604516217,-0.943326163,0.5600437915,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4029,-1.115966797,-2.014189499,0.5796075148,0.8982227024,0.5789669922,Y,M,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,9990,-3.559082031,-3.281506362,0.5766802343,-0.277575669,0.556916067,N,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y
,2025,2025,6,96119,4029,0.7219238281,-2.216622433,0.567088652,2.9385462607,0.566679856,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4269,-2.048828125,-2.902681543,0.5604878087,0.8538534182,0.5600075758,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4069,-0.374328613,-0.536177943,0.5796648882,0.16184933,0.5789095496,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4269,-3.112304688,-1.219585324,0.5604479606,-1.892719364,0.5600474552,Y,M,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
,2025,2025,8,96119,4269,-2.659667969,-1.459016161,0.5795308476,-1.200651808,0.579043734,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4069,-1.095947266,-0.747344222,0.5795766619,-0.348603044,0.5789978776,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.196289063,-1.502255545,0.5794854923,0.3059664821,0.579089124,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-0.17388916,-1.02589079,0.5799161612,0.8520016297,0.5786578395,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,4,96119,4029,-1.118164063,-0.314148922,0.5469988322,-0.804015141,0.5466800691,Y,F,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,4029,-0.044723511,1.1600552181,0.5604582357,-1.204778729,0.5600371726,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4029,1.0942382813,-1.905761719,0.5268318171,3.0,0.5265315355,Y,M,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4069,-2.072753906,-2.239402442,0.5268873853,0.1666485353,0.5264759298,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.015869141,-1.13701171,0.5795009035,0.1211425693,0.5790737018,Y,M,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-0.213989258,-0.850232148,0.5794703948,0.6362428902,0.5791042314,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,9990,-1.230957031,-1.938153018,0.5609461162,0.7071959866,0.5595484995,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,-0.162963867,-0.631556473,0.5670561995,0.4685926062,0.56671233,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,0.3153686523,-0.863698467,0.5670538588,1.1790671189,0.5667146721,Y,M,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4269,-0.153289795,-0.697795075,0.5268494343,0.5445052803,0.5265139077,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,4,96119,4029,-1.498046875,-0.688083912,0.5470102486,-0.809962963,0.5466686457,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.837646484,-1.629658579,0.5794784117,-0.207987906,0.5790962093,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4069,0.1957702637,0.2006708345,0.5671229873,-0.004900571,0.5666454938,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4029,-1.958007813,-1.504935897,0.579488286,-0.453071916,0.5790863283,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-2.659667969,-2.532697924,0.5799239026,-0.126970045,0.5786500811,N,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4269,-1.113037109,-0.408052967,0.5269648394,-0.704984142,0.5263984037,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4069,0.8782958984,-0.189121582,0.5268862203,1.0674174808,0.5264770956,Y,M,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4069,0.3233642578,0.0717506862,0.5605036919,0.2516135716,0.5599916784,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4269,-2.432617188,-1.804553228,0.5268373613,-0.628063959,0.5265259881,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4029,-0.614868164,-0.820645969,0.5794751707,0.205777805,0.5790994525,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4269,-1.067138672,-0.662373747,0.5605791233,-0.404764925,0.5599161679,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,4069,-0.494628906,0.3184889691,0.5605914613,-0.813117875,0.559903815,Y,M,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4269,-1.621826172,-2.59411165,0.5670886566,0.9722854782,0.5666798514,N,F,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-1.782958984,-1.385302995,0.5604143978,-0.39765599,0.56008104,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4029,0.7697753906,-0.212364093,0.5670618839,0.9821394836,0.5667066421,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4269,-1.664794922,-1.778980909,0.526839705,0.1141859871,0.526523643,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4069,1.0942382813,-0.022134401,0.5268815196,1.1163726822,0.5264817999,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
